mq2,mq135,temp,hum,lat,lon,alt
2.55,92.79,32,15,52.470329,13.428668,59.2
2.66,90.39,32,15,52.470341,13.428665,60.5
2.55,90.39,32,15,52.470341,13.428649,60
2.55,88.03,32,15,52.470333,13.428636,60.7
2.55,88.03,32,15,52.470329,13.428616,60.7
2.55,85.72,32,15,52.470329,13.428616,60.9
2.55,88.03,32,15,52.470322,13.428593,59.8
2.44,90.39,32,15,52.470325,13.428581,59.6
2.55,88.03,32,15,52.470325,13.42857,59.6
2.44,85.72,31,15,52.470325,13.42857,59.6
2.44,88.03,32,15,52.470318,13.428557,59.6
2.55,85.72,32,15,52.470318,13.428557,59.5
2.55,90.39,31,15,52.470322,13.42855,59.7
2.55,90.39,31,15,52.470318,13.428544,59.7
2.55,88.03,32,15,52.470318,13.428544,60.1
2.66,92.79,32,15,52.470322,13.42854,60.1
2.55,88.03,32,15,52.470322,13.42854,60.1
2.66,92.79,31,15,52.47031,13.428546,59.9
2.55,90.39,32,15,52.470306,13.428551,59.9
2.66,90.39,32,15,52.470306,13.428551,59.6
2.66,90.39,32,15,52.470295,13.428559,59.5
2.66,95.24,31,15,52.470291,13.42856,59.3
2.77,95.24,31,15,52.470295,13.428568,59.6
2.66,95.24,32,15,52.470287,13.42856,59.6
2.77,92.79,32,15,52.470287,13.42856,59.3
2.77,95.24,31,15,52.470287,13.428563,59.4
2.88,95.24,31,15,52.470284,13.428554,58.7
2.77,92.79,31,15,52.470314,13.428523,58.7
2.77,95.24,32,15,52.470314,13.428523,58.7
2.77,92.79,32,15,52.470314,13.428533,58.7
2.77,95.24,31,15,52.470314,13.428533,58.5
2.88,95.24,32,15,52.470314,13.428539,59.1
2.88,95.24,31,15,52.470314,13.428567,59.1
2.88,95.24,32,15,52.470314,13.428567,59.2
2.88,95.24,32,15,52.470318,13.428556,59.2
2.88,95.24,31,15,52.470318,13.428556,59
3.00,100.28,32,15,52.470318,13.428567,58.8
3.00,100.28,32,15,52.470314,13.428602,58.8
3.00,100.28,31,15,52.470314,13.428602,59.2
3.00,95.24,32,15,52.470303,13.428589,66.7
3.00,97.73,32,15,52.470306,13.428593,66.7
3.00,100.28,31,15,52.470295,13.428476,66.8
