mq2,mq135,temp,hum,lat,lon,alt
145,160,24,31,52.602577,13.368023,43.6
144,155,24,31,52.602592,13.368013,43.6
144,150,24,31,52.602592,13.368013,44
144,159,24,30,52.602612,13.367996,44.6
144,156,24,31,52.602619,13.367976,44.6
144,158,24,31,52.602619,13.367976,44.2
144,155,24,31,52.602631,13.367962,44.1
144,161,24,30,52.602646,13.367947,44.7
144,155,24,30,52.602661,13.36793,44.7
144,150,24,31,52.602661,13.36793,45
143,160,24,31,52.602676,13.367907,45
143,150,21,20,52.602676,13.367907,45.1
143,164,24,31,52.602692,13.36789,45
144,164,21,20,52.602703,13.36788,45
144,147,24,30,52.602703,13.36788,45.3
144,156,24,30,52.602718,13.367871,45.2
143,150,20,21,52.602734,13.367865,45.9
143,151,21,20,52.602745,13.367852,45.9
142,151,21,20,52.602745,13.367852,45.8
142,142,21,20,52.602753,13.367838,45.8
142,166,24,31,52.602753,13.367838,45.3
142,153,24,31,52.60276,13.367821,44.9
142,148,24,31,52.602776,13.367807,44.9
142,150,24,31,52.602776,13.367807,44.5
143,159,24,31,52.602776,13.367806,43.6
143,156,21,20,52.602783,13.367797,43.1
143,156,24,31,52.602798,13.367785,43.1
142,154,24,31,52.602806,13.367777,43.1
143,152,24,31,52.602806,13.367777,42.9
143,152,21,20,52.602821,13.367763,42.8
143,155,24,31,52.602837,13.367749,43
144,157,20,21,52.602848,13.367736,43
143,152,20,21,52.602848,13.367736,42.7
144,155,24,30,52.602859,13.367724,42.2
144,158,24,31,52.602871,13.367712,41.9
144,157,21,20,52.602882,13.3677,41.9
144,150,21,20,52.602882,13.3677,41.7
144,157,24,31,52.602894,13.367683,41.1
144,159,24,32,52.602905,13.367672,40.7
144,159,21,19,52.602917,13.367658,40.7
144,152,21,20,52.602917,13.367658,39.9
144,158,21,20,52.602932,13.367644,40.2
144,157,24,31,52.602943,13.367627,40.1
144,159,24,31,52.602951,13.367611,39.8
144,154,21,20,52.602962,13.367598,39.8
142,154,24,30,52.602962,13.367598,39.6
145,155,21,19,52.602974,13.367584,39.6
143,158,21,20,52.602982,13.367574,39.3
145,154,24,31,52.602993,13.367559,39.3
142,157,21,20,52.602993,13.367559,38.7
144,158,24,32,52.603008,13.367543,38.3
143,156,23,32,52.603016,13.367529,37.9
143,159,24,31,52.603027,13.367511,37.7
143,154,24,31,52.603039,13.367493,37.7
143,155,24,31,52.603039,13.367493,37.4
143,156,21,20,52.60305,13.367475,36.7
143,160,24,31,52.603058,13.367463,36.4
143,153,21,20,52.603069,13.367445,36.4
143,154,24,30,52.603069,13.367445,36.4
141,155,21,20,52.603077,13.367429,36.4
143,151,21,20,52.603077,13.367429,36.1
144,154,24,31,52.603088,13.367413,36.2
143,159,21,20,52.603096,13.3674,36.2
143,150,21,20,52.603096,13.3674,35.8
142,153,24,31,52.603104,13.367388,35.7
143,156,24,30,52.603111,13.367377,35.5
143,162,21,19,52.603123,13.367365,35.5
143,149,24,31,52.603123,13.367365,35.3
143,152,24,31,52.603134,13.367354,35.4
143,157,21,20,52.603142,13.367343,35.3
142,156,24,31,52.603153,13.367332,35.3
142,152,24,31,52.603153,13.367332,35.5
142,156,20,21,52.603161,13.367319,35.5
142,160,21,20,52.603161,13.367319,34.9
142,151,21,20,52.603176,13.367306,34.5
143,150,20,21,52.603188,13.367298,34.5
142,151,24,31,52.603188,13.367298,34.3
141,152,24,30,52.603203,13.3673,34.2
143,159,21,20,52.603222,13.367312,35.3
143,148,24,31,52.603241,13.367329,36.3
141,154,24,31,52.603268,13.367344,36.3
142,158,21,20,52.603268,13.367344,37.3
141,150,21,20,52.603291,13.367356,38.6
141,165,24,31,52.603313,13.367364,39
141,156,21,20,52.603333,13.367372,39
141,152,21,20,52.603333,13.367372,39.3
140,159,24,31,52.603348,13.367385,40
141,155,24,31,52.603348,13.367394,38.7
140,153,21,20,52.603344,13.367409,38.7
140,151,24,31,52.603344,13.367409,38.7
140,152,24,31,52.603336,13.367426,38.8
140,154,21,20,52.603333,13.367445,38.9
138,147,21,20,52.603336,13.36746,38.9
139,150,24,31,52.603336,13.36746,38.9
137,147,24,30,52.603348,13.367477,38.9
137,146,21,20,52.603348,13.367477,39.3
137,151,21,20,52.603355,13.367496,39.8
137,155,21,20,52.603363,13.367515,39.8
137,150,24,31,52.603363,13.367515,39.8
138,147,24,30,52.603374,13.367529,39.8
135,151,24,31,52.603386,13.367539,38.9
133,144,24,31,52.603397,13.367553,38.9
131,143,20,21,52.603397,13.367553,38.5
130,146,24,31,52.603409,13.367563,38.4
130,147,21,20,52.603424,13.367576,38.4
131,147,21,20,52.603436,13.36759,38.6
130,146,21,20,52.603451,13.367605,38.6
129,133,21,20,52.603451,13.367605,39.2
128,144,21,20,52.603462,13.367618,39.2
128,143,24,31,52.603474,13.367629,39
127,144,24,30,52.603489,13.36764,39
127,131,24,31,52.603489,13.36764,39.2
126,136,24,30,52.603504,13.367652,39.2
126,136,21,20,52.603516,13.367662,39.3
125,138,24,31,52.603531,13.367671,39.3
125,133,24,31,52.603531,13.367671,39.2
125,133,24,33,52.603542,13.367681,39.2
126,144,24,31,52.603542,13.367681,39.2
126,136,24,31,52.603554,13.367687,39.1
126,135,24,31,52.603569,13.367695,39.1
126,137,24,31,52.603569,13.367695,39.2
127,141,20,21,52.603584,13.367702,39.4
126,142,24,31,52.6036,13.367708,39.3
126,139,21,20,52.603611,13.367718,39.3
126,136,24,31,52.603611,13.367718,39.4
124,142,24,31,52.603622,13.367723,39.4
125,132,24,31,52.603622,13.367723,39.6
126,143,24,31,52.603638,13.367729,39.6
125,139,24,31,52.603649,13.367738,39.6
125,128,24,31,52.603649,13.367738,40.1
128,160,21,20,52.603661,13.367744,39.9
128,148,24,30,52.603676,13.367751,40.3
130,138,24,31,52.603691,13.367746,40.3
131,135,24,31,52.603691,13.367746,40.5
134,142,24,30,52.603703,13.367735,40.9
136,144,24,31,52.603714,13.367725,41.2
137,152,20,21,52.603718,13.367714,41.2
139,147,24,30,52.603718,13.367714,41.2
139,145,24,31,52.603722,13.367704,41.2
137,153,24,30,52.603722,13.367697,41.3
137,157,20,21,52.603725,13.367695,41
141,138,24,30,52.603725,13.367696,41
142,149,24,32,52.603725,13.367696,40.8
145,134,24,30,52.603729,13.367694,40.7
148,163,24,31,52.603733,13.367698,40.7
152,185,24,30,52.603733,13.367701,40.7
153,114,24,31,52.603733,13.367701,40.8
156,192,24,30,52.603737,13.367714,40.9
159,213,24,31,52.603733,13.367708,41.1
162,159,20,21,52.603741,13.367702,41.1
164,158,20,21,52.603741,13.367702,41.2
166,219,24,31,52.603748,13.367707,41.5
169,136,24,31,52.603745,13.367732,41.7
172,181,24,30,52.603745,13.367737,41.7
174,181,24,31,52.603745,13.367737,41.6
175,140,24,30,52.603752,13.36775,41.6
177,247,24,30,52.603752,13.36775,41.7
178,90,24,31,52.603752,13.367759,41.9
180,332,24,30,52.603756,13.367769,41.9
180,94,24,31,52.603756,13.367769,41.8
183,251,24,30,52.603764,13.367771,42
185,187,20,21,52.603771,13.367786,42.3
187,167,24,31,52.603783,13.367794,42.4
188,263,24,31,52.603786,13.367805,42.4
188,155,24,31,52.603786,13.367805,42.6
190,303,20,20,52.603794,13.367822,42.8
191,189,24,31,52.603806,13.367829,42.7
192,253,24,30,52.603802,13.367842,42.7
193,177,24,31,52.603802,13.367842,42.8
194,216,24,31,52.603809,13.367861,43
195,206,24,31,52.603817,13.367882,43.2
197,203,20,21,52.603828,13.367897,43.2
197,201,24,31,52.603828,13.367897,43.5
197,204,24,30,52.603836,13.367908,43.5
197,201,24,31,52.603836,13.367908,43.9
198,248,24,31,52.603844,13.367916,44.4
199,238,24,30,52.603859,13.367932,44.4
